Date,home,away,Home Score,Away Score,result,Tries scored H,Tries scored A,Neutral venue,Crowds
01/01/2000,Stade Francais,Glasgow,37,18,Home,,,0,1
01/01/2000,Glasgow,Leinster,29,17,Home,,,0,1
01/01/2000,Leicester,Stade Francais,30,25,Home,,,0,1
01/01/2000,Stade Francais,Leinster,39,6,Home,,,0,1
01/01/2000,Glasgow,Leicester,30,17,Home,,,0,1
01/01/2000,Leinster,Stade Francais,24,23,Home,,,0,1
01/01/2000,Leicester,Glasgow,34,21,Home,,,0,1
01/01/2000,Leinster,Glasgow,44,17,Home,,,0,1
01/01/2000,Stade Francais,Leicester,38,16,Home,,,0,1
01/01/2000,Glasgow,Stade Francais,15,30,Away,,,0,1
01/01/2000,Leicester,Leinster,10,32,Away,,,0,1
01/01/2000,Swansea,Petrarca,66,19,Home,,,0,1
01/01/2000,Bath,Toulouse,25,32,Away,,,0,1
01/01/2000,Petrarca,Bath,15,56,Away,,,0,1
01/01/2000,Toulouse,Swansea,46,3,Home,,,0,1
01/01/2000,Swansea,Bath,10,9,Home,,,0,1
01/01/2000,Petrarca,Toulouse,17,39,Away,,,0,1
01/01/2000,Toulouse,Petrarca,51,0,Home,,,0,1
01/01/2000,Bath,Swansea,20,9,Home,,,0,1
01/01/2000,Swansea,Toulouse,9,18,Away,,,0,1
01/01/2000,Bath,Petrarca,41,0,Home,,,0,1
01/01/2000,Petrarca,Swansea,25,29,Away,,,0,1
01/01/2000,Toulouse,Bath,14,19,Away,,,0,1
01/01/2000,Bourgoin,Ulster,26,12,Home,,,0,1
01/01/2000,Wasps,Scarlets,22,13,Home,,,0,1
01/01/2000,Ulster,Wasps,6,19,Away,,,0,1
01/01/2000,Scarlets,Bourgoin,29,10,Home,,,0,1
01/01/2000,Ulster,Scarlets,6,29,Away,,,0,1
01/01/2000,Bourgoin,Wasps,15,21,Away,,,0,1
01/01/2000,Scarlets,Ulster,20,3,Home,,,0,1
01/01/2000,Wasps,Bourgoin,37,23,Home,,,0,1
01/01/2000,Bourgoin,Scarlets,30,36,Away,,,0,1
01/01/2000,Wasps,Ulster,49,17,Home,,,0,1
01/01/2000,Ulster,Bourgoin,27,36,Away,,,0,1
01/01/2000,Scarlets,Wasps,25,15,Home,,,0,1
01/01/2000,Munster,Pontypridd,32,10,Home,,,0,1
01/01/2000,Colomiers,Saracens,19,16,Home,,,0,1
01/01/2000,Pontypridd,Colomiers,22,14,Home,,,0,1
01/01/2000,Saracens,Munster,34,35,Away,,,0,1
01/01/2000,Colomiers,Munster,15,31,Away,,,0,1
01/01/2000,Saracens,Pontypridd,52,35,Home,,,0,1
01/01/2000,Pontypridd,Saracens,18,22,Away,,,0,1
01/01/2000,Munster,Colomiers,23,5,Home,,,0,1
01/01/2000,Munster,Saracens,31,30,Home,,,0,1
01/01/2000,Colomiers,Pontypridd,38,21,Home,,,0,1
01/01/2000,Pontypridd,Munster,38,36,Home,,,0,1
01/01/2000,Saracens,Colomiers,52,15,Home,,,0,1
01/01/2000,Cardiff Blues,Harlequins,32,32,Draw,,,0,1
01/01/2000,Treviso,Montferrand,15,21,Away,,,0,1
01/01/2000,Harlequins,Treviso,19,22,Away,,,0,1
01/01/2000,Montferrand,Cardiff Blues,46,13,Home,,,0,1
01/01/2000,Cardiff Blues,Treviso,23,16,Home,,,0,1
01/01/2000,Harlequins,Montferrand,11,9,Home,,,0,1
01/01/2000,Treviso,Cardiff Blues,16,40,Away,,,0,1
01/01/2000,Montferrand,Harlequins,32,9,Home,,,0,1
01/01/2000,Treviso,Harlequins,24,23,Home,,,0,1
01/01/2000,Cardiff Blues,Montferrand,30,5,Home,,,0,1
01/01/2000,Harlequins,Cardiff Blues,26,30,Away,,,0,1
01/01/2000,Montferrand,Treviso,41,7,Home,,,0,1
01/01/2000,Northampton,Neath,21,12,Home,,,0,1
01/01/2000,Edinburgh,Grenoble,23,18,Home,,,0,1
01/01/2000,Neath,Edinburgh,20,31,Away,,,0,1
01/01/2000,Grenoble,Northampton,20,18,Home,,,0,1
01/01/2000,Neath,Grenoble,43,14,Home,,,0,1
01/01/2000,Northampton,Edinburgh,32,10,Home,,,0,1
01/01/2000,Edinburgh,Northampton,8,47,Away,,,0,1
