"Date","home","away","Home Score","Away Score","result","Tries scored H","Tries scored A","Neutral venue","Crowds"
2000-01-01,"Neath","Grenoble",43,14,"Home",NA,NA,0,1
2000-01-01,"Northampton","Edinburgh",32,10,"Home",NA,NA,0,1
2000-01-01,"Edinburgh","Northampton",8,47,"Away",NA,NA,0,1
2000-01-01,"Grenoble","Neath",21,10,"Home",NA,NA,0,1
2000-01-01,"Edinburgh","Neath",23,20,"Home",NA,NA,0,1
2000-01-01,"Northampton","Grenoble",27,16,"Home",NA,NA,0,1
2000-01-01,"Neath","Northampton",23,39,"Away",NA,NA,0,1
2000-01-01,"Grenoble","Edinburgh",21,19,"Home",NA,NA,0,1
2000-01-01,"Munster","Stade Francais",27,10,"Home",NA,NA,0,1
2000-01-01,"Scarlets","Cardiff Blues",22,3,"Home",NA,NA,0,1
2000-01-01,"Toulouse","Montferrand",31,18,"Home",NA,NA,0,1
2000-01-01,"Northampton","Wasps",25,22,"Home",NA,NA,0,1
2000-01-01,"Toulouse","Munster",25,31,"Away",NA,NA,0,1
2000-01-01,"Northampton","Scarlets",31,28,"Home",NA,NA,0,1
2000-01-01,"Northampton","Munster",9,8,"Home",NA,NA,1,1
2001-01-01,"Edinburgh","Leinster",29,21,"Home",NA,NA,0,1
2001-01-01,"Biarritz","Northampton",37,30,"Home",NA,NA,0,1
2001-01-01,"Leinster","Biarritz",35,9,"Home",NA,NA,0,1
2001-01-01,"Northampton","Edinburgh",22,23,"Away",NA,NA,0,1
2001-01-01,"Northampton","Leinster",8,14,"Away",NA,NA,0,1
2001-01-01,"Biarritz","Edinburgh",29,18,"Home",NA,NA,0,1
2001-01-01,"Edinburgh","Biarritz",27,35,"Away",NA,NA,0,1
2001-01-01,"Leinster","Northampton",40,31,"Home",NA,NA,0,1
2001-01-01,"Leinster","Edinburgh",34,34,"Draw",NA,NA,0,1
2001-01-01,"Northampton","Biarritz",32,24,"Home",NA,NA,0,1
2001-01-01,"Edinburgh","Northampton",18,15,"Home",NA,NA,0,1
2001-01-01,"Biarritz","Leinster",30,10,"Home",NA,NA,0,1
2001-01-01,"Swansea","Wasps",54,28,"Home",NA,NA,0,1
2001-01-01,"Stade Francais","L'Aquila",92,7,"Home",NA,NA,0,1
2001-01-01,"Swansea","Stade Francais",18,16,"Home",NA,NA,0,1
2001-01-01,"L'Aquila","Wasps",10,39,"Away",NA,NA,0,1
2001-01-01,"Stade Francais","Wasps",40,10,"Home",NA,NA,0,1
2001-01-01,"L'Aquila","Swansea",6,70,"Away",NA,NA,0,1
2001-01-01,"Swansea","L'Aquila",73,3,"Home",NA,NA,0,1
2001-01-01,"Wasps","Stade Francais",28,31,"Away",NA,NA,0,1
2001-01-01,"L'Aquila","Stade Francais",9,76,"Away",NA,NA,0,1
2001-01-01,"Wasps","Swansea",28,16,"Home",NA,NA,0,1
2001-01-01,"Stade Francais","Swansea",42,13,"Home",NA,NA,0,1
2001-01-01,"Wasps","L'Aquila",42,5,"Home",NA,NA,0,1
2001-01-01,"Ulster","Cardiff Blues",32,23,"Home",NA,NA,0,1
2001-01-01,"Toulouse","Saracens",22,32,"Away",NA,NA,0,1
2001-01-01,"Cardiff Blues","Toulouse",26,17,"Home",NA,NA,0,1
2001-01-01,"Saracens","Ulster",55,25,"Home",NA,NA,0,1
2001-01-01,"Saracens","Cardiff Blues",23,32,"Away",NA,NA,0,1
2001-01-01,"Toulouse","Ulster",35,35,"Draw",NA,NA,0,1
2001-01-01,"Cardiff Blues","Saracens",24,14,"Home",NA,NA,0,1
2001-01-01,"Ulster","Toulouse",25,29,"Away",NA,NA,0,1
2001-01-01,"Cardiff Blues","Ulster",42,16,"Home",NA,NA,0,1
2001-01-01,"Saracens","Toulouse",37,30,"Home",NA,NA,0,1
2001-01-01,"Ulster","Saracens",13,21,"Away",NA,NA,0,1
2001-01-01,"Toulouse","Cardiff Blues",38,27,"Home",NA,NA,0,1
2001-01-01,"Munster","Newport",26,18,"Home",NA,NA,0,1
2001-01-01,"Bath","Castres",25,13,"Home",NA,NA,0,1
2001-01-01,"Newport","Bath",28,17,"Home",NA,NA,0,1
2001-01-01,"Castres","Munster",29,32,"Away",NA,NA,0,1
2001-01-01,"Munster","Bath",31,9,"Home",NA,NA,0,1
2001-01-01,"Newport","Castres",21,20,"Home",NA,NA,0,1
2001-01-01,"Bath","Munster",18,5,"Home",NA,NA,0,1
2001-01-01,"Castres","Newport",43,21,"Home",NA,NA,0,1
2001-01-01,"Castres","Bath",19,32,"Away",NA,NA,0,1
2001-01-01,"Newport","Munster",24,39,"Away",NA,NA,0,1
2001-01-01,"Munster","Castres",21,11,"Home",NA,NA,0,1
2001-01-01,"Bath","Newport",38,10,"Home",NA,NA,0,1
2001-01-01,"Scarlets","Gloucester",20,27,"Away",NA,NA,0,1
2001-01-01,"Roma","Colomiers",5,14,"Away",NA,NA,0,1
2001-01-01,"Colomiers","Scarlets",6,19,"Away",NA,NA,0,1
2001-01-01,"Gloucester","Roma",52,12,"Home",NA,NA,0,1
2001-01-01,"Scarlets","Roma",46,0,"Home",NA,NA,0,1
2001-01-01,"Gloucester","Colomiers",22,22,"Draw",NA,NA,0,1
2001-01-01,"Colomiers","Gloucester",30,19,"Home",NA,NA,0,1
2001-01-01,"Roma","Scarlets",21,41,"Away",NA,NA,0,1
2001-01-01,"Gloucester","Scarlets",28,27,"Home",NA,NA,0,1
2001-01-01,"Colomiers","Roma",55,21,"Home",NA,NA,0,1
2001-01-01,"Scarlets","Colomiers",34,21,"Home",NA,NA,0,1
2001-01-01,"Roma","Gloucester",29,38,"Away",NA,NA,0,1
2001-01-01,"Pontypridd","Glasgow",40,25,"Home",NA,NA,0,1
2001-01-01,"Leicester","Pau",46,18,"Home",NA,NA,0,1
2001-01-01,"Pau","Pontypridd",12,9,"Home",NA,NA,0,1
2001-01-01,"Glasgow","Leicester",21,33,"Away",NA,NA,0,1
2001-01-01,"Pontypridd","Leicester",18,11,"Home",NA,NA,0,1
2001-01-01,"Glasgow","Pau",24,46,"Away",NA,NA,0,1
2001-01-01,"Pau","Glasgow",44,16,"Home",NA,NA,0,1
2001-01-01,"Leicester","Pontypridd",27,19,"Home",NA,NA,0,1
2001-01-01,"Pau","Leicester",3,20,"Away",NA,NA,0,1
2001-01-01,"Glasgow","Pontypridd",25,23,"Home",NA,NA,0,1
2001-01-01,"Leicester","Glasgow",41,26,"Home",NA,NA,0,1
2001-01-01,"Pontypridd","Pau",27,31,"Away",NA,NA,0,1
2001-01-01,"Gloucester","Cardiff Blues",21,15,"Home",NA,NA,0,1
2001-01-01,"Stade Francais","Pau",36,19,"Home",NA,NA,0,1
2001-01-01,"Leicester","Swansea",41,10,"Home",NA,NA,0,1
2001-01-01,"Munster","Biarritz",38,29,"Home",NA,NA,0,1
